video_title,video_ids,text_display,like_count
🍑자주 쓰이는 과일 향 리큐르 추천!🍈/ 과일 리큐르로 새콤달콤한 과일맛 칵테일 만들기,0kkredqf4aY,disabled comments,0
[재업로드] 간단하고 예쁜 세 가지 칵테일 만들기🍋,WELbqdkqFxY,disabled comments,0
홈텐딩 도구& 칵테일 기법 소개🍸이건 필수로 알아야 해요!🔥,Yo1IhbQdN90,disabled comments,0
[마감]갑툭튀 구독자 이벤트💕,J09reqatUY4,disabled comments,0
"🍦배라 아이스크림 넣은 칵테일 만들기! / 친구들한테 만들어주면 인기쟁이~ㅎ /바닐라, 요거트, 이상한 나라의 솜사탕, 베리베리 스트로베리",PyCIpgqmeM0,disabled comments,0
🔥매콤달달 중독적인 술안주🍺꼬꼬아찌 숯불치킨 따라 만들어보기!,h8rDZNB8pr0,disabled comments,0
"우유가 들어가 달고 부드러운 칵테일🥛/ 깔루아밀크, 베일리스밀크, 화이트러시안, 캬라멜러시안",5vnCRg83p2w,disabled comments,0
간단하지만 있어보이는 술안주👍 / 집에서 감바스 만들어서 배부르게 먹기,WWndLp9SiNw,disabled comments,0
[마감]자몽&오렌지&키위청 이벤트🥝🍊/ 세가지 과일청 만들기,bmawWeWFaEE,disabled comments,0
가볍게 먹기 좋은 산뜻한 칵테일🌱/ 술 하나로 집에서 간단하게 만들자!,n8qYgQKxv4E,disabled comments,0
집술 고수가 알려주는 간단안주 모음,DCW_eG0SKTU,disabled comments,0
발렌타인데이 기념 칵테일 만들기 / 달고 부드러운 칵테일,2Y1UIKmieRU,disabled comments,0
[마감]늦어서 죄송한 300명 기념 소소한 이벤트 / 작은 선물...받아가쉴..? / 더보기란 필독!,flaCIDq3SwQ,disabled comments,0
칵테일은 이름이 야할수록 맛있다는게 사실일까?!🧐 / 바에서 주문하기 부끄북흐~😉이름이 야시꾸리한 칵테일,4F7OKLLh05k,disabled comments,0
🔥칼로리를 포기한다!!! 세가지 핫도그 만들기 / 살사핫도그 / 베이컨 핫도그,PIL_c4b2_CU,disabled comments,0
중국 현지에서 요리하기 / 까르푸에서 장보기! / 상하이 여행 #1,pMZHfgP9ErY,disabled comments,0
✨겨울백숙 끓이기 / 맛난 양념장 만들기 / 닭죽 끓이기 / 맛있게 만들고 맛있게 먹는 방법!!,9sMKQWJFcBI,disabled comments,0
"[마감]영상보고 🍓딸기청🍓 받아가세요! / 딸기청 만들기, 딸기청 칵테일! / 소소한 200명 구독자 이벤트",lm1dlq9b8sI,disabled comments,0
"❄️든든하고 간단한 간식, 계란빵 만들기 / 에어프라이어 / 겨울간식#2",9Zw_ViTTU7Y,disabled comments,0
